file,reason
translations/fr-FR/content/issues/tracking-your-work-with-issues/about-task-lists.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/about-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/automating-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/best-practices-for-managing-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/creating-a-project.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/customizing-your-project-views.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/filtering-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/index.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/managing-access-to-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/managing-iterations.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/managing-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/managing-the-visibility-of-your-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/migrating-your-project.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/quickstart.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/using-insights-with-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/issues/trying-out-the-new-projects-experience/using-the-api-to-manage-projects.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/keeping-your-organization-secure/managing-security-settings-for-your-organization/reviewing-your-organizations-installed-integrations.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-apps/adding-github-app-managers-in-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-apps/index.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-apps/removing-github-app-managers-from-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/adding-outside-collaborators-to-repositories-in-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/canceling-an-invitation-to-become-an-outside-collaborator-in-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/converting-an-organization-member-to-an-outside-collaborator.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/converting-an-outside-collaborator-to-an-organization-member.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/index.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/managing-an-individuals-access-to-an-organization-repository.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/managing-team-access-to-an-organization-repository.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/reinstating-a-former-outside-collaborators-access-to-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/removing-an-outside-collaborator-from-an-organization-repository.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/repository-roles-for-an-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/setting-base-permissions-for-an-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-access-to-your-organizations-repositories/viewing-people-with-access-to-your-repository.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/managing-saml-single-sign-on-for-your-organization/troubleshooting-identity-and-access-management.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/restricting-access-to-your-organizations-data/about-oauth-app-access-restrictions.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/restricting-access-to-your-organizations-data/approving-oauth-apps-for-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/restricting-access-to-your-organizations-data/denying-access-to-a-previously-approved-oauth-app-for-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/restricting-access-to-your-organizations-data/disabling-oauth-app-access-restrictions-for-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/restricting-access-to-your-organizations-data/enabling-oauth-app-access-restrictions-for-your-organization.md,file deleted because it no longer exists in main
translations/fr-FR/content/organizations/restricting-access-to-your-organizations-data/index.md,file deleted because it no longer exists in main
translations/fr-FR/content/pages/getting-started-with-github-pages/adding-a-theme-to-your-github-pages-site-with-the-theme-chooser.md,file deleted because it no longer exists in main
translations/fr-FR/content/pull-requests/collaborating-with-pull-requests/working-with-forks/merging-an-upstream-repository-into-your-fork.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/actions.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/activity.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/apps.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/billing.md,file deleted because it no longer exists in main
translations/fr-FR/content/rest/reference/branches.md,file deleted because it no longer exists in main
